file,current,canonical
Moe-Wiborg2017.qmd,Sindicalismo Docente,Teacher Unionism
Offner2019Qwen.qmd,Latin American Studies,Latin America
Offner2019Qwen.qmd,U.S. Welfare State,Welfare State
Scheve-Stasavage2017.qmd,Democracia,Democracy
Scheve-Stasavage2017.qmd,Desigualdade de Riqueza,Inequality
Scheve-Stasavage2017.qmd,Economia Política Comparada,Political Economy
Scheve-Stasavage2017.qmd,Métodos Quantitativos,Quantitative Methods
Scheve-Stasavage2017.qmd,Redistribuição,Redistribution
Schwartzman2026.qmd,Private Education,Privatization
Schwartzman2026.qmd,Tertiary Education,Higher Education
Scudeler2022-Tese-FIES.qmd,Politics of Education,Education Policy
Summerhill2000.qmd,Brasil Imperial,Imperial Brazil
Summerhill2000.qmd,Economia Histórica,Economic History
Summerhill2000.qmd,Economia Política Comparada,Political Economy
Summerhill2000.qmd,Instituições Políticas,Institutions
Summerhill2000.qmd,Política de Infraestrutura,Infrastructure Policy
Tan-Thelen2025.qmd,Capitalismo de Plataforma,Platform Capitalism
Tan-Thelen2025.qmd,Economia Política Comparada,Political Economy
Tan-Thelen2025.qmd,Inteligência Artificial,Artificial Intelligence
Tan-Thelen2025.qmd,Modelos de Negócio,Platform Capitalism
Tan-Thelen2025.qmd,Tecnonacionalismo,Techno-nationalism
Thelen2014Chp1.qmd,Desigualdade,Inequality
Thelen2014Chp1.qmd,Economia Política Comparada,Political Economy
Thelen2014Chp1.qmd,Instituições Políticas,Institutions
Thelen2014Chp1.qmd,Liberalização,Liberalization
Thelen2014Chp1.qmd,Variedades de Capitalismo,Varieties of Capitalism
